"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BKYI","BIO-key International, Inc.","3.58","27879250","n/a","n/a","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/bkyi",
"BIOL","Biolase, Inc.","0.294","27346173.33","n/a","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/biol",
"BLFS","BioLife Solutions, Inc.","38.09","1246910888.08","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/blfs",
"BLRX","BioLineRx Ltd.","2.37","41243022.03","17402119","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/blrx",
"BMRN","BioMarin Pharmaceutical Inc.","76.16","13825299438.72","n/a","1999","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/bmrn",
"BMRA","Biomerica, Inc.","6.37","74863991.93","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/bmra",
"PHGE","BiomX Inc.","5.98","138603973.56","n/a","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/phge",
"PHGE.U","BiomX Inc.","n/a","0","n/a","2018","n/a","n/a","https://old.nasdaq.com/symbol/phge.u",
"PHGE.WS","BiomX Inc.","n/a","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/phge.ws",
"BNGO","Bionano Genomics, Inc.","0.5079","77803169.4","n/a","2018","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/bngo",
"BNGOW","Bionano Genomics, Inc.","0.1507","0","n/a","2018","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/bngow",
"BVXV","BiondVax Pharmaceuticals Ltd.","3.84","44240471.04","11520956","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/bvxv",
"BNTX","BioNTech SE","122.81","8147881398.63","66345423","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/bntx",
"BPTH","Bio-Path Holdings, Inc.","3.86","17531568.02","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/bpth",
"BIO","Bio-Rad Laboratories, Inc.","541.87","16164255202.48","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/bio",
"BIO.B","Bio-Rad Laboratories, Inc.","n/a","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bio.b",
"BSGM","BioSig Technologies, Inc.","4.57","138236618.41","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/bsgm",
"TECH","Bio-Techne Corp","301.64","11646111363.48","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/tech",
"BEAT","BioTelemetry, Inc.","59.46","2037147108.54","n/a","2008","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/beat",
"BIVI","BioVie Inc.","8.55","118983202.2","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/bivi",
"BTAI","BioXcel Therapeutics, Inc.","42.46","1034680438.22","n/a","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/btai",
"BGI","Birks Group Inc.","0.875","15724520.875","n/a","n/a","Consumer Services","Consumer Specialties","https://old.nasdaq.com/symbol/bgi",
"BTBT","Bit Digital, Inc.","5.69","248648362.65","n/a","2018","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/btbt",
"BJRI","BJ&#39;s Restaurants, Inc.","35.32","788229729.2","n/a","n/a","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/bjri",
"BJ","BJ&#39;s Wholesale Club Holdings, Inc.","37.7","5175471457","n/a","2018","Consumer Services","Department/Specialty Retail Stores","https://old.nasdaq.com/symbol/bj",
"BKTI","BK Technologies Corporation","3","37535898","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/bkti",
"BDTX","Black Diamond Therapeutics, Inc.","33.38","1201535130.8","n/a","2020","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/bdtx",
"BKH","Black Hills Corporation","58.37","3662524412.04","n/a","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/bkh",
"BKI","Black Knight, Inc.","87.41","13725932074.51","n/a","2017","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/bki",
"BSM","Black Stone Minerals, L.P.","7.23","1494794467.47","n/a","2015","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/bsm",
"BLKB","Blackbaud, Inc.","56.31","2791194576.84","n/a","2004","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/blkb",
"BB","BlackBerry Limited","8.31","4624626013.29","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/bb",
"BL","BlackLine, Inc.","120.86","6919835915.92","n/a","2016","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/bl",
"BGIO","BlackRock 2022 Global Income Opportunity Trust","8.95","198218084.4","n/a","2017","n/a","n/a","https://old.nasdaq.com/symbol/bgio",
"BFZ","BlackRock California Municipal Income Trust","14.16","446759087.28","n/a","2001","n/a","n/a","https://old.nasdaq.com/symbol/bfz",
"BCAT","BlackRock Capital Allocation Trust","22.11","2211000000","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/bcat",
"CII","Blackrock Capital and Income Strategies Fund Inc","17.41","768153574","n/a","2004","n/a","n/a","https://old.nasdaq.com/symbol/cii",
"BKCC","BlackRock Capital Investment Corporation","2.79","201749096.16","n/a","2007","n/a","n/a","https://old.nasdaq.com/symbol/bkcc",
"BHK","Blackrock Core Bond Trust","16.04","865119421.04","n/a","2001","n/a","n/a","https://old.nasdaq.com/symbol/bhk",
"HYT","Blackrock Corporate High Yield Fund, Inc.","11.78","1436029779.68","n/a","2003","n/a","n/a","https://old.nasdaq.com/symbol/hyt",
"BTZ","BlackRock Credit Allocation Income Trust","14.93","1395641455.07","n/a","2006","n/a","n/a","https://old.nasdaq.com/symbol/btz",
"DSU","Blackrock Debt Strategies Fund, Inc.","10.33","483270910.52","n/a","1998","n/a","n/a","https://old.nasdaq.com/symbol/dsu",
"BGR","BlackRock Energy and Resources Trust","7.46","222496931.96","n/a","2004","n/a","n/a","https://old.nasdaq.com/symbol/bgr",
"BDJ","Blackrock Enhanced Equity Dividend Trust","8.39","1573480777.95","n/a","2005","n/a","n/a","https://old.nasdaq.com/symbol/bdj",
"EGF","Blackrock Enhanced Government Fund, Inc","13.17","56123810.13","n/a","2005","n/a","n/a","https://old.nasdaq.com/symbol/egf",
"FRA","Blackrock Floating Rate Income Strategies Fund Inc","12.25","437095079.75","n/a","2003","n/a","n/a","https://old.nasdaq.com/symbol/fra",
"BFO","Blackrock Florida Municipal 2020 Term Trust","14.79","78454826.94","n/a","2003","n/a","n/a","https://old.nasdaq.com/symbol/bfo",
"BGT","Blackrock Global","11.93","269632351.79","n/a","2004","n/a","n/a","https://old.nasdaq.com/symbol/bgt",
"BOE","Blackrock Global","10.87","706353481.27","n/a","2005","n/a","n/a","https://old.nasdaq.com/symbol/boe",
"BME","Blackrock Health Sciences Trust","46.08","530684835.84","n/a","2005","n/a","n/a","https://old.nasdaq.com/symbol/bme",
"BMEZ","BlackRock Health Sciences Trust II","29.65","0","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/bmez",
"BAF","BlackRock Income Investment Quality Trust","14.86","130016351.48","n/a","2002","n/a","n/a","https://old.nasdaq.com/symbol/baf",
"BKT","BlackRock Income Trust Inc. (The)","6.11","389800354.32","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bkt",
"BGY","BLACKROCK INTERNATIONAL, LTD.","5.79","607744582.38","n/a","2007","n/a","n/a","https://old.nasdaq.com/symbol/bgy",
"BKN","BlackRock Investment Quality Municipal Trust Inc. (The)","17.26","296627926.34","n/a","1993","n/a","n/a","https://old.nasdaq.com/symbol/bkn",
"BTA","BlackRock Long-Term Municipal Advantage Trust","12.8","171853145.6","n/a","2006","n/a","n/a","https://old.nasdaq.com/symbol/bta",
"BZM","BlackRock Maryland Municipal Bond Trust","16.483","34323292.635","n/a","2002","n/a","n/a","https://old.nasdaq.com/symbol/bzm",
"MHE","BlackRock Massachusetts Tax-Exempt Trust","13.48","31961390.04","n/a","1993","n/a","n/a","https://old.nasdaq.com/symbol/mhe",
"BIT","BlackRock Multi-Sector Income Trust","17.15","643769771.4","n/a","2013","n/a","n/a","https://old.nasdaq.com/symbol/bit",
"MUI","Blackrock Muni Intermediate Duration Fund Inc","14.59","558742520.94","n/a","2003","n/a","n/a","https://old.nasdaq.com/symbol/mui",
"MUA","Blackrock MuniAssets Fund, Inc.","14.76","532995230.88","n/a","1993","n/a","n/a","https://old.nasdaq.com/symbol/mua",
"BKK","Blackrock Municipal 2020 Term Trust","15.04","304358885.12","n/a","2003","n/a","n/a","https://old.nasdaq.com/symbol/bkk",
"BBK","Blackrock Municipal Bond Trust","16.16","170050985.12","n/a","2002","n/a","n/a","https://old.nasdaq.com/symbol/bbk",
"BBF","BlackRock Municipal Income Investment Trust","13.37","136806853.75","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bbf",
"BYM","Blackrock Municipal Income Quality Trust","14.94","394509718.62","n/a","2002","n/a","n/a","https://old.nasdaq.com/symbol/bym",
"BFK","BlackRock Municipal Income Trust","15.04","674263353.6","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bfk",
"BLE","BlackRock Municipal Income Trust II","15.37","362086951.84","n/a","2002","n/a","n/a","https://old.nasdaq.com/symbol/ble",
"BTT","BlackRock Municipal Target Term Trust Inc. (The)","24.98","1761229163.58","n/a","2012","n/a","n/a","https://old.nasdaq.com/symbol/btt",
"MEN","Blackrock MuniEnhanced Fund, Inc.","12.1","359145859.6","n/a","1989","n/a","n/a","https://old.nasdaq.com/symbol/men",
"MUC","Blackrock MuniHoldings California Quality Fund,  Inc.","14.75","604786624.25","n/a","1998","n/a","n/a","https://old.nasdaq.com/symbol/muc",
"MUH","Blackrock MuniHoldings Fund II, Inc.","15.2","172311486.4","n/a","1998","n/a","n/a","https://old.nasdaq.com/symbol/muh",
"MHD","Blackrock MuniHoldings Fund, Inc.","16.05","228066038.1","n/a","1997","n/a","n/a","https://old.nasdaq.com/symbol/mhd",
"MFL","Blackrock MuniHoldings Investment Quality Fund","14.13","535473419.04","n/a","1997","n/a","n/a","https://old.nasdaq.com/symbol/mfl",
"MUJ","Blackrock MuniHoldings New Jersey Insured Fund, Inc.","14.54","437467437.26","n/a","1998","n/a","n/a","https://old.nasdaq.com/symbol/muj",
"MHN","Blackrock MuniHoldings New York Quality Fund, Inc.","13.94","433980400.62","n/a","1997","n/a","n/a","https://old.nasdaq.com/symbol/mhn",
"MUE","Blackrock MuniHoldings Quality Fund II, Inc.","13.38","301327755.42","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mue",
"MUS","Blackrock MuniHoldings Quality Fund, Inc.","13.22","172101608.72","n/a","1998","n/a","n/a","https://old.nasdaq.com/symbol/mus",
"MVT","Blackrock MuniVest Fund II, Inc.","14.84","316683745","n/a","1993","n/a","n/a","https://old.nasdaq.com/symbol/mvt",
"MYC","Blackrock MuniYield California Fund, Inc.","14.51","310796857.94","n/a","1992","n/a","n/a","https://old.nasdaq.com/symbol/myc",
"MCA","Blackrock MuniYield California Insured Fund, Inc.","14.95","514365469.15","n/a","1992","n/a","n/a","https://old.nasdaq.com/symbol/mca",
"MYD","Blackrock MuniYield Fund, Inc.","14.43","677051198.85","n/a","1991","n/a","n/a","https://old.nasdaq.com/symbol/myd",
"MYF","Blackrock MuniYield Investment Fund","14.15","194052420.8","n/a","1992","n/a","n/a","https://old.nasdaq.com/symbol/myf",
"MFT","Blackrock MuniYield Investment QualityFund","15","127180785","n/a","1992","n/a","n/a","https://old.nasdaq.com/symbol/mft",
"MIY","Blackrock MuniYield Michigan Quality Fund, Inc.","14.49","427593162.15","n/a","1992","n/a","n/a","https://old.nasdaq.com/symbol/miy",
"MYJ","Blackrock MuniYield New Jersey Fund, Inc.","14.36","346910387.8","n/a","1992","n/a","n/a","https://old.nasdaq.com/symbol/myj",
"MYN","Blackrock MuniYield New York Quality Fund, Inc.","13.17","521355311.28","n/a","1992","n/a","n/a","https://old.nasdaq.com/symbol/myn",
"MPA","Blackrock MuniYield Pennsylvania Quality Fund","14.79","196827612.45","n/a","1992","n/a","n/a","https://old.nasdaq.com/symbol/mpa",
"MQT","Blackrock MuniYield Quality Fund II, Inc.","13.96","314909805.64","n/a","1992","n/a","n/a","https://old.nasdaq.com/symbol/mqt",
"MYI","Blackrock MuniYield Quality Fund III, Inc.","14.24","970465697.44","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/myi",
"MQY","Blackrock MuniYield Quality Fund, Inc.","16.67","512198885.96","n/a","1992","n/a","n/a","https://old.nasdaq.com/symbol/mqy",
"BNY","BlackRock New York Investment Quality Municipal Trust Inc. (Th","14.19","184130490.06","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bny",
"BSE","Blackrock New York Municipal Income Quality Trust","13.57","88471786.2","n/a","2002","n/a","n/a","https://old.nasdaq.com/symbol/bse",
"BFY","BlackRock New York Municipal Income Trust II","14.37","71920729.14","n/a","2002","n/a","n/a","https://old.nasdaq.com/symbol/bfy",
"BCX","BlackRock Resources","7.15","644038502.25","n/a","2011","n/a","n/a","https://old.nasdaq.com/symbol/bcx",
"BST","BlackRock Science and Technology Trust","49.41","1194098140.35","n/a","2014","n/a","n/a","https://old.nasdaq.com/symbol/bst",
"BSTZ","BlackRock Science and Technology Trust II","33.82","2641002514.84","n/a","2019","n/a","n/a","https://old.nasdaq.com/symbol/bstz",
"BSD","BlackRock Strategic Municipal Trust Inc. (The)","14.461","105683489.753","n/a","1999","n/a","n/a","https://old.nasdaq.com/symbol/bsd",
"TCPC","BlackRock TCP Capital Corp.","12.3","710537347.2","n/a","2012","n/a","n/a","https://old.nasdaq.com/symbol/tcpc",
"BUI","BlackRock Utility, Infrastructure & Power Opportun","24.335","431731955.99","n/a","2011","n/a","n/a","https://old.nasdaq.com/symbol/bui",
"BHV","BlackRock Virginia Municipal Bond Trust","16.1629","25991737.2819","n/a","2002","n/a","n/a","https://old.nasdaq.com/symbol/bhv",
"BLK","BlackRock, Inc.","701.68","107013712887.76","n/a","1999","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/blk",
"BGB","Blackstone / GSO Strategic Credit Fund","12.59","562324569.38","n/a","2012","n/a","n/a","https://old.nasdaq.com/symbol/bgb",
"BGX","Blackstone GSO Long Short Credit Income Fund","13.52","171809415.44","n/a","2011","n/a","n/a","https://old.nasdaq.com/symbol/bgx",
"BSL","Blackstone GSO Senior Floating Rate Term Fund","14.3","209684317.7","n/a","2010","n/a","n/a","https://old.nasdaq.com/symbol/bsl",
"BLNK","Blink Charging Co.","27.19","877996286.93","n/a","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/blnk",
"BLNKW","Blink Charging Co.","22.99","0","n/a","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/blnkw",
"BDR","Blonder Tongue Laboratories, Inc.","1.35","13668993","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/bdr",
"BE","Bloom Energy Corporation","25.01","4156621483.8","n/a","2018","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/be",
"BLMN","Bloomin&#39; Brands, Inc.","17.89","1566708073.35","n/a","2012","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/blmn",
"BCOR","Blucora, Inc.","13.86","665886000.78","n/a","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/bcor",
"APRN","Blue Apron Holdings, Inc.","7.18","126984087.08","n/a","2017","Consumer Services","Catalog/Specialty Distribution","https://old.nasdaq.com/symbol/aprn",
"BLBD","Blue Bird Corporation","16.87","456306575.48","n/a","2014","Capital Goods","Construction/Ag Equipment/Trucks","https://old.nasdaq.com/symbol/blbd",
"BHAT","Blue Hat Interactive Entertainment Technology","0.91","31978413.74","n/a","2019","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/bhat",
"BRBS","Blue Ridge Bankshares, Inc.","16.075","91926832.575","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/brbs",
"BLUW","Blue Water Acquisition Corp.","n/a","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bluw",
"BLUE","bluebird bio, Inc.","42.61","2828167165.2","n/a","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/blue",
"BLCT","BlueCity Holdings Limited","10.98","58194000","5300000","2020","Technology","EDP Services","https://old.nasdaq.com/symbol/blct",
"BXG","Bluegreen Vacations Corporation","6.83","495067721.19","n/a","2017","Finance","Real Estate","https://old.nasdaq.com/symbol/bxg",
"BVH","Bluegreen Vacations Holding Corporation","13.41","259050182.67","n/a","2017","Finance","Real Estate","https://old.nasdaq.com/symbol/bvh",
"BKEP","Blueknight Energy Partners L.P., L.L.C.","1.81","74568539.28","n/a","2011","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/bkep",
"BKEPP","Blueknight Energy Partners L.P., L.L.C.","6.35","0","n/a","n/a","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/bkepp",
"BXC","BlueLinx Holdings Inc.","26.12","247135424.8","n/a","2004","Capital Goods","Wholesale Distributors","https://old.nasdaq.com/symbol/bxc",
"BPMC","Blueprint Medicines Corporation","108.41","6041776461.64","n/a","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/bpmc",
"BRG","Bluerock Residential Growth REIT, Inc.","11.53","274963784.99","n/a","2014","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/brg",
"BRG^A","Bluerock Residential Growth REIT, Inc.","25.56","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/brg^a",
"BRG^C","Bluerock Residential Growth REIT, Inc.","26.25","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/brg^c",
"BRG^D","Bluerock Residential Growth REIT, Inc.","25.435","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/brg^d",
"BOAC.U","Bluescape Opportunities Acquisition Corp.","n/a","0","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/boac.u",
"ITEQ","BlueStar Israel Technology ETF","62.887","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/iteq",
"BMCH","BMC Stock Holdings, Inc.","46.39","3121301512.7","n/a","2013","Consumer Services","RETAIL: Building Materials","https://old.nasdaq.com/symbol/bmch",
"DCF","BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund","8.46","126588096.72","n/a","2017","n/a","n/a","https://old.nasdaq.com/symbol/dcf",
"DHF","BNY Mellon High Yield Strategies Fund","2.93","213033525.84","n/a","1998","n/a","n/a","https://old.nasdaq.com/symbol/dhf",
"DMB","BNY Mellon Municipal Bond Infrastructure Fund, Inc","14.21","261287412.33","n/a","2013","n/a","n/a","https://old.nasdaq.com/symbol/dmb",
"DMF","BNY Mellon Municipal Income Inc.","8.83","183229546.34","n/a","1988","n/a","n/a","https://old.nasdaq.com/symbol/dmf",
"DSM","BNY Mellon Strategic Municipal Bond Fund, Inc.","7.83","386970431.13","n/a","1989","n/a","n/a","https://old.nasdaq.com/symbol/dsm",
"LEO","BNY Mellon Strategic Municipals, Inc.","8.61","535626050.82","n/a","1987","n/a","n/a","https://old.nasdaq.com/symbol/leo",
"BA","Boeing Company (The)","232.06","131004758933.16","n/a","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/ba",
"BSBK","Bogota Financial Corp.","9.08","119470327","n/a","2020","Finance","Banks","https://old.nasdaq.com/symbol/bsbk",
"WIFI","Boingo Wireless, Inc.","14.71","655049303.64","n/a","2011","Consumer Services","Telecommunications Equipment","https://old.nasdaq.com/symbol/wifi",
"BCC","Boise Cascade, L.L.C.","45.93","1800512310.18","n/a","2013","Consumer Services","RETAIL: Building Materials","https://old.nasdaq.com/symbol/bcc",
"BOKF","BOK Financial Corporation","70.76","4974840743.08","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bokf",
"BOKFL","BOK Financial Corporation","26.11","0","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bokfl",
"BCEI","Bonanza Creek Energy, Inc.","23.56","490859100.12","n/a","2017","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/bcei",
"BNSO","Bonso Electronics International, Inc.","4.3849","21455855.0427","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/bnso",
"BKNG","Booking Holdings Inc.","2107.11","86296504624.32","n/a","n/a","Consumer Services","Transportation Services","https://old.nasdaq.com/symbol/bkng",
"BOOT","Boot Barn Holdings, Inc.","41.79","1206347792.79","n/a","2014","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/boot",
"BAH","Booz Allen Hamilton Holding Corporation","87.4","12052473110","n/a","2010","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/bah",
"BIMI","BOQI International Medical Inc.","1.87","21844408.74","n/a","n/a","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/bimi",
"BQ","Boqii Holding Limited","4.92","446504828.88","n/a","2020","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/bq",
"BWA","BorgWarner Inc.","39.86","9746514026.76","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/bwa",
"BRQS","Borqs Technologies, Inc. ","1.09","48116043.31","n/a","2015","Technology","EDP Services","https://old.nasdaq.com/symbol/brqs",
"BORR","Borr Drilling Limited","1.01","221047579.9","n/a","2019","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/borr",
"SAM","Boston Beer Company, Inc. (The)","936.23","11461896887.84","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/sam",
"BOMN","Boston Omaha Corporation","22.83","621686355.45","n/a","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/bomn",
"BPFH","Boston Private Financial Holdings, Inc.","7.81","642408379.14","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bpfh",
"BXP","Boston Properties, Inc.","100.48","15640670478.72","n/a","1997","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/bxp",
"BXP^B","Boston Properties, Inc.","26.03","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bxp^b",
"BSX","Boston Scientific Corporation","34.13","48871479395.67","n/a","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/bsx",
"BSX^A","Boston Scientific Corporation","105.74","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bsx^a",
"EPAY","Bottomline Technologies, Inc.","50.27","2267860269.84","n/a","1999","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/epay",
"BWL.A","Bowl America, Inc.","n/a","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bwl.a",
"BOWX","BowX Acquisition Corp.","10.05","606768750","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/bowx",
"BOWXU","BowX Acquisition Corp.","10.57","0","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/bowxu",
"BOWXW","BowX Acquisition Corp.","1.5","0","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/bowxw",
"BOX","Box, Inc.","17.22","2731837402.14","n/a","2015","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/box",
"BOXL","Boxlight Corporation","1.66","84935193.14","n/a","2017","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/boxl",
"BYD","Boyd Gaming Corporation","41.98","4682453523.94","n/a","1993","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/byd",
"BPMP","BP Midstream Partners LP","10.75","1126368896.5","n/a","2017","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/bpmp",
"BP","BP p.l.c.","21.9","73980449239.5","n/a","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/bp",
"BPT","BP Prudhoe Bay Royalty Trust","3.1","66340000","n/a","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/bpt",
"BRC","Brady Corporation","46.19","2402537191.32","n/a","n/a","Consumer Durables","Miscellaneous manufacturing industries","https://old.nasdaq.com/symbol/brc",
"BBRX","Braeburn Pharmaceuticals, Inc.","n/a","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bbrx",
"BHR","Braemar Hotels & Resorts Inc.","4.6","168758953.4","n/a","2013","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/bhr",
"BHR^B","Braemar Hotels & Resorts Inc.","16.7","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bhr^b",
"BHR^D","Braemar Hotels & Resorts Inc.","19.92","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bhr^d",
"BCLI","Brainstorm Cell Therapeutics Inc.","4.81","151840117.52","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/bcli",
"BWAY","Brainsway Ltd.","6.23","17923865.75","2877025","2019","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/bway",
"BDN","Brandywine Realty Trust","11.69","1993997949.16","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/bdn",
"BWG","BrandywineGLOBAL Global Income Opportunities Fund ","12.49","262162539.55","n/a","2012","n/a","n/a","https://old.nasdaq.com/symbol/bwg",
"LND","Brasilagro Cia Brasileira De Propriedades Agricolas","5.045","298577856.625","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/lnd",
"BAK","Braskem S.A.","8.4","3342122952","n/a","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/bak",
"BREZU","Breeze Holdings Acquisition Corp.","10.17","0","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/brezu",
"BRFS","BRF S.A.","4.4","3553911512.8","n/a","n/a","Consumer Non-Durables","Meat/Poultry/Fish","https://old.nasdaq.com/symbol/brfs",
"BCTX","BriaCell Therapeutics Corp.","n/a","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bctx",
"BBI","Brickell Biotech, Inc.","0.695","37193255.82","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/bbi",
"BDGE","Bridge Bancorp, Inc.","24.28","479765783.08","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bdge",
"BBIO","BridgeBio Pharma, Inc.","56.86","6969228761.76","n/a","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/bbio",
"BLIN          ","Bridgeline Digital, Inc.","2.8","12376476","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/blin",
"BTWN","Bridgetown Holdings Limited","11.21","833734658.69","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/btwn",
"BTWNU","Bridgetown Holdings Limited","11.67","0","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/btwnu",
